"Year","State","State_Code","Ag.District","Ag.District.Code","County","County.ANSI","Commodity","Species","Product_Type","Unit","Value","CV....","Wholesale_Type"
2019,"IDAHO",16,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,2,"(NA)",NA
2019,"ILLINOIS",17,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,NA,"(D)",NA
2019,"ILLINOIS",17,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,2,"47.4",NA
2019,"LOUISIANA",22,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,NA,"(NA)",NA
2019,"LOUISIANA",22,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,2,"(NA)",NA
2019,"MISSISSIPPI",28,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,16330,"0.9",NA
2019,"MISSISSIPPI",28,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,66,"10.4",NA
2019,"TEXAS",48,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,522,"6.5",NA
2019,"TEXAS",48,"",NA,"",NA,"FOOD FISH","WATER CATFISH, HYBRID","IN PRODUCTION",NA,8,"26.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FOOD FISH","ALL PRODUCTS","OPERATIONS",1071,"6.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FOOD FISH","ALL PRODUCTS","DOLLARS",715978000,"0.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FOOD FISH","ALL PRODUCTS","DOLLARS_PER_OPERATION",668513,"6.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FOOD FISH","ALL PRODUCTS","PCT BT SIZE GROUP",100,"0.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","ALL PRODUCTS",NA,15,"36.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","ALL PRODUCTS","OPERATIONS",62,"13.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","ALL PRODUCTS","DOLLARS",34878000,"0.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER HYBRID STRIPED BASS","ALL PRODUCTS",NA,3273000,"10.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER HYBRID STRIPED BASS","ALL PRODUCTS",NA,16000,"3.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER HYBRID STRIPED BASS","ALL PRODUCTS",NA,15,"36.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY","OPERATIONS",8,"41.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FINGERLINGS & FRY","HEAD",49912000,"13.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","OPERATIONS",43,"17.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE",NA,3.78,"0.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","DOLLARS",32800000,"0.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","HEAD",4386000,"1.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","LB",8688000,"0.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","FOODSIZE","LB_PER_HEAD",2,"0.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","OPERATIONS",11,"33.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","HEAD",36000,"61.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","LB",44000,"54.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","HYBRID STRIPED BASS","STOCKERS","LB_PER_HEAD",1.2,"27.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CARP","ALL PRODUCTS","OPERATIONS",100,"12.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CARP","ALL PRODUCTS","DOLLARS",10334000,"1.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","ALL PRODUCTS","OPERATIONS",16,"25.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","ALL PRODUCTS","DOLLARS",2619000,"4.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","BROODSTOCK","OPERATIONS",1,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","BROODSTOCK",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","BROODSTOCK","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","BROODSTOCK","HEAD",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","BROODSTOCK","LB",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","BROODSTOCK","LB_PER_HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY","OPERATIONS",4,"78.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FINGERLINGS & FRY","HEAD",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FOODSIZE","OPERATIONS",11,"28.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FOODSIZE",NA,4.09,"1.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FOODSIZE","DOLLARS",2539000,"5.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FOODSIZE","HEAD",518000,"3.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FOODSIZE","LB",620000,"3.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","FOODSIZE","LB_PER_HEAD",1.2,"(L)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","STOCKERS","OPERATIONS",1,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","STOCKERS",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","STOCKERS","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","STOCKERS","HEAD",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","STOCKERS","LB",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CARP","STOCKERS","LB_PER_HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","ALL PRODUCTS","OPERATIONS",88,"12.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","ALL PRODUCTS","DOLLARS",7715000,"1.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY","OPERATIONS",10,"36.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY",NA,427.81,"71.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY","DOLLARS",192000,"11.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FINGERLINGS & FRY","HEAD",449000,"55.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FOODSIZE","OPERATIONS",26,"21.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FOODSIZE",NA,2.29,"0.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FOODSIZE","DOLLARS",2329000,"0.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FOODSIZE","HEAD",484000,"0.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FOODSIZE","LB",1019000,"0.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","FOODSIZE","LB_PER_HEAD",2.1,"0.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","STOCKERS","OPERATIONS",59,"18.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","STOCKERS",NA,5.95,"5.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","STOCKERS","DOLLARS",5193000,"2.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","STOCKERS","HEAD",1286000,"1.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","STOCKERS","LB",873000,"7.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","GRASS CARP","STOCKERS","LB_PER_HEAD",0.7,"6.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","ALL PRODUCTS",NA,81,"14.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","ALL PRODUCTS","OPERATIONS",531,"7.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","ALL PRODUCTS","DOLLARS",366843000,"0.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CATFISH","ALL PRODUCTS",NA,9166000,"20.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CATFISH","ALL PRODUCTS",NA,1793000,"6.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER CATFISH","ALL PRODUCTS",NA,81,"14.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","BROODSTOCK","OPERATIONS",19,"31.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","BROODSTOCK",NA,0.91,"1.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","BROODSTOCK","DOLLARS",794000,"3.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","BROODSTOCK","HEAD",201000,"4.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","BROODSTOCK","LB",877000,"4.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","BROODSTOCK","LB_PER_HEAD",4.4,"0.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","EGGS",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","EGGS",NA,1,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FINGERLINGS & FRY","OPERATIONS",89,"17.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FINGERLINGS & FRY",NA,78.46,"2.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FINGERLINGS & FRY","DOLLARS",16382000,"2.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FINGERLINGS & FRY","HEAD",208801000,"4.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FOODSIZE","OPERATIONS",469,"7.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FOODSIZE",NA,0.97,"0.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FOODSIZE","DOLLARS",341915000,"0.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FOODSIZE","HEAD",213692000,"1.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FOODSIZE","LB",351464000,"0.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","FOODSIZE","LB_PER_HEAD",1.6,"0.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","STOCKERS","OPERATIONS",55,"14.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","STOCKERS",NA,1.31,"1.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","STOCKERS","DOLLARS",7752000,"4.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","STOCKERS","HEAD",58640000,"4.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","STOCKERS","LB",5899000,"6.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","CATFISH","STOCKERS","LB_PER_HEAD",0.1,"2.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","ALL PRODUCTS","OPERATIONS",12,"28.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","ALL PRODUCTS","DOLLARS",19448000,"0.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FINGERLINGS & FRY","OPERATIONS",1,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FINGERLINGS & FRY",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FINGERLINGS & FRY","DOLLARS",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FINGERLINGS & FRY","HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FOODSIZE","OPERATIONS",12,"28.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FOODSIZE",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FOODSIZE","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FOODSIZE","HEAD",2063000,"0.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FOODSIZE","LB",7153000,"0.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","RED DRUM","FOODSIZE","LB_PER_HEAD",3.5,"0.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","ALL PRODUCTS","OPERATIONS",3,"94.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","ALL PRODUCTS","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FINGERLINGS & FRY","OPERATIONS",1,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FINGERLINGS & FRY",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FINGERLINGS & FRY","DOLLARS",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FINGERLINGS & FRY","HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FOODSIZE","OPERATIONS",1,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FOODSIZE",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FOODSIZE","DOLLARS",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FOODSIZE","HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FOODSIZE","LB",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","FOODSIZE","LB_PER_HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","STOCKERS","OPERATIONS",1,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","STOCKERS",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","STOCKERS","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","STOCKERS","HEAD",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","STOCKERS","LB",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","FLOUNDER","STOCKERS","LB_PER_HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",28,"37.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","ALL PRODUCTS","DOLLARS",16029000,"1.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","BROODSTOCK","OPERATIONS",1,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","BROODSTOCK",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","BROODSTOCK","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","BROODSTOCK","HEAD",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","BROODSTOCK","LB",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","BROODSTOCK","LB_PER_HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FINGERLINGS & FRY","OPERATIONS",5,"60.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FINGERLINGS & FRY",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FINGERLINGS & FRY","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FINGERLINGS & FRY","HEAD",477000,"17.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FOODSIZE","OPERATIONS",23,"41.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FOODSIZE",NA,5.19,"3.4",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FOODSIZE","DOLLARS",15369000,"1.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FOODSIZE","HEAD",1576000,"6.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FOODSIZE","LB",2961000,"4.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","FOODSIZE","LB_PER_HEAD",1.9,"2.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","STOCKERS","OPERATIONS",2,"82.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","STOCKERS",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","STOCKERS","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","STOCKERS","HEAD",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","STOCKERS","LB",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SPECIES","STOCKERS","LB_PER_HEAD",NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","ALL PRODUCTS",NA,16,"52.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","ALL PRODUCTS","OPERATIONS",65,"8.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","ALL PRODUCTS","DOLLARS",1104000,"19.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER YELLOW PERCH","ALL PRODUCTS",NA,2174000,"43.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER YELLOW PERCH","ALL PRODUCTS",NA,31000,"98.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER YELLOW PERCH","ALL PRODUCTS",NA,15,"55.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","BROODSTOCK","OPERATIONS",3,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","BROODSTOCK",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","BROODSTOCK","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","BROODSTOCK","HEAD",2000,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","BROODSTOCK","LB",1000,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","BROODSTOCK","LB_PER_HEAD",0.6,"75.8",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","EGGS",NA,NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","EGGS",NA,3,"94.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","EGGS","OPERATIONS",1,"(H)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","EGGS",NA,NA,"(NA)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","EGGS","DOLLARS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","EGGS","EGGS",NA,"(D)",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FINGERLINGS & FRY","OPERATIONS",29,"37.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FINGERLINGS & FRY",NA,381.03,"70.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FINGERLINGS & FRY","DOLLARS",316000,"38.0",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FINGERLINGS & FRY","HEAD",828000,"49.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FOODSIZE","OPERATIONS",12,"41.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FOODSIZE",NA,2.62,"77.6",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FOODSIZE","DOLLARS",140000,"39.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FOODSIZE","HEAD",75000,"40.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FOODSIZE","LB",53000,"81.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","FOODSIZE","LB_PER_HEAD",0.7,"56.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","STOCKERS","OPERATIONS",35,"15.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","STOCKERS",NA,2.5,"24.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","STOCKERS","DOLLARS",646000,"22.2",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","STOCKERS","HEAD",588000,"40.3",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","STOCKERS","LB",258000,"37.5",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","YELLOW PERCH","STOCKERS","LB_PER_HEAD",0.4,"15.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH",NA,"RETAIL","PCT BY OUTLET",2,"9.7",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","SALMON","ALL PRODUCTS",NA,121,"7.1",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SALMON","ALL PRODUCTS",NA,2352584000,"0.9",NA
2018,"US",0,"",NA,"",NA,"FOOD FISH","OTHER SALMON","ALL PRODUCTS",NA,19301000,"1.9",NA
