"Year","State","Species","Product_Type","Unit","Value","CV...."
2018,"US","HARD CLAMS","ALL PRODUCTS","DOLLARS",55906000,"3.6"
2018,"US","HARD CLAMS","BROODSTOCK","OPERATIONS",10,"46.5"
2018,"US","HARD CLAMS","BROODSTOCK","DOLLARS",1531000,"66.9"
2018,"US","HARD CLAMS","BROODSTOCK","HEAD",8725000,"59.5"
2018,"US","HARD CLAMS","FOODSIZE","OPERATIONS",198,"7.4"
2018,"US","HARD CLAMS","FOODSIZE","DOLLARS",52096000,"3.2"
2018,"US","HARD CLAMS","FOODSIZE","HEAD",368259000,"6.4"
2018,"US","HARD CLAMS","FOODSIZE","HEAD_PER_LB",9,"7.9"
2018,"US","HARD CLAMS","FOODSIZE","LB",41391000,"9.9"
2018,"US","HARD CLAMS","LARVAE & SEED","OPERATIONS",17,"21.6"
2018,"US","HARD CLAMS","LARVAE & SEED","DOLLARS",2279000,"10.5"
2018,"US","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",66,"15.7"
2018,"US","MANILA CLAMS","ALL PRODUCTS","DOLLARS",28841000,"9.4"
2018,"US","MANILA CLAMS","FOODSIZE","OPERATIONS",59,"17.5"
2018,"US","MANILA CLAMS","FOODSIZE","DOLLARS",NA,"(D)"
2018,"US","MANILA CLAMS","FOODSIZE","HEAD",157987000,"8.8"
2018,"US","MANILA CLAMS","FOODSIZE","HEAD_PER_LB",17,"2.6"
2018,"US","MANILA CLAMS","FOODSIZE","LB",9199000,"6.3"
2018,"US","MANILA CLAMS","LARVAE & SEED","OPERATIONS",7,"(NA)"
2018,"US","MANILA CLAMS","LARVAE & SEED","DOLLARS",NA,"(NA)"
2018,"US","MUSSELS","ALL PRODUCTS","OPERATIONS",33,"15.7"
2018,"US","MUSSELS","ALL PRODUCTS","DOLLARS",9860000,"6.2"
2018,"US","MUSSELS","FOODSIZE","OPERATIONS",28,"24.4"
2018,"US","MUSSELS","FOODSIZE","DOLLARS",9610000,"6.6"
2018,"US","MUSSELS","FOODSIZE","HEAD",86790000,"7.8"
2018,"US","MUSSELS","FOODSIZE","HEAD_PER_LB",18,"0.7"
2018,"US","MUSSELS","FOODSIZE","LB",4774000,"7.1"
2018,"US","MUSSELS","LARVAE & SEED","OPERATIONS",5,"60.0"
2018,"US","MUSSELS","LARVAE & SEED","DOLLARS",250000,"36.0"
2018,"US","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",18,"36.5"
2018,"US","OTHER SPECIES","ALL PRODUCTS","DOLLARS",4418000,"3.0"
2018,"US","OTHER SPECIES","FOODSIZE","OPERATIONS",12,"34.5"
2018,"US","OTHER SPECIES","FOODSIZE","DOLLARS",NA,"(D)"
2018,"US","OTHER SPECIES","FOODSIZE","HEAD",NA,"(D)"
2018,"US","OTHER SPECIES","FOODSIZE","HEAD_PER_LB",NA,"(D)"
2018,"US","OTHER SPECIES","FOODSIZE","LB",NA,"(D)"
2018,"US","OTHER SPECIES","LARVAE & SEED","OPERATIONS",8,"53.0"
2018,"US","OTHER SPECIES","LARVAE & SEED","DOLLARS",NA,"(D)"
2018,"US","OTHER SPECIES","OTHER SIZES","OPERATIONS",2,"82.2"
2018,"US","OTHER SPECIES","OTHER SIZES","DOLLARS",NA,"(D)"
2018,"US","OYSTERS","ALL PRODUCTS","OPERATIONS",701,"4.0"
2018,"US","OYSTERS","ALL PRODUCTS","DOLLARS",284938000,"8.0"
2018,"US","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",44,"17.5"
2018,"US","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",61086000,"46.6"
2018,"US","OTHER OYSTERS","FOODSIZE","OPERATIONS",42,"18.4"
2018,"US","OTHER OYSTERS","FOODSIZE","DOLLARS",NA,"(D)"
2018,"US","OTHER OYSTERS","FOODSIZE","HEAD",124189000,"25.8"
2018,"US","OTHER OYSTERS","FOODSIZE","HEAD_PER_LB",3,"10.3"
2018,"US","OTHER OYSTERS","FOODSIZE","LB",38897000,"34.1"
2018,"US","OTHER OYSTERS","LARVAE & SEED","OPERATIONS",2,"(NA)"
2018,"US","OTHER OYSTERS","LARVAE & SEED","DOLLARS",NA,"(NA)"
2018,"US","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",528,"5.0"
2018,"US","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",134385000,"4.8"
2018,"US","EASTERN OYSTERS","BROODSTOCK","OPERATIONS",3,"77.5"
2018,"US","EASTERN OYSTERS","BROODSTOCK","DOLLARS",NA,"(D)"
2018,"US","EASTERN OYSTERS","BROODSTOCK","HEAD",NA,"(D)"
2018,"US","EASTERN OYSTERS","FOODSIZE","OPERATIONS",515,"5.2"
2018,"US","EASTERN OYSTERS","FOODSIZE","DOLLARS",129754000,"5.0"
2018,"US","EASTERN OYSTERS","FOODSIZE","HEAD",406972000,"5.4"
2018,"US","EASTERN OYSTERS","FOODSIZE","HEAD_PER_LB",5,"4.5"
2018,"US","EASTERN OYSTERS","FOODSIZE","LB",76548000,"9.2"
2018,"US","EASTERN OYSTERS","LARVAE & SEED","OPERATIONS",34,"11.8"
2018,"US","EASTERN OYSTERS","LARVAE & SEED","DOLLARS",NA,"(D)"
2018,"US","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",145,"10.6"
2018,"US","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",89467000,"9.9"
2018,"US","PACIFIC OYSTERS","FOODSIZE","OPERATIONS",139,"9.9"
2018,"US","PACIFIC OYSTERS","FOODSIZE","DOLLARS",83146000,"10.9"
2018,"US","PACIFIC OYSTERS","FOODSIZE","HEAD",168237000,"9.2"
2018,"US","PACIFIC OYSTERS","FOODSIZE","HEAD_PER_LB",3,"1.7"
2018,"US","PACIFIC OYSTERS","FOODSIZE","LB",52463000,"9.7"
2018,"US","PACIFIC OYSTERS","LARVAE & SEED","OPERATIONS",13,"34.2"
2018,"US","PACIFIC OYSTERS","LARVAE & SEED","DOLLARS",6321000,"8.8"
2018,"ALABAMA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",3,"77.5"
2018,"ALABAMA","MOLLUSKS","ALL PRODUCTS","DOLLARS",74000,"29.0"
2018,"ALABAMA","OYSTERS","ALL PRODUCTS","OPERATIONS",3,"77.5"
2018,"ALABAMA","OYSTERS","ALL PRODUCTS","DOLLARS",74000,"29.0"
2018,"ALABAMA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",3,"77.5"
2018,"ALABAMA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",74000,"29.0"
2018,"ALASKA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",22,"23.6"
2018,"ALASKA","MOLLUSKS","ALL PRODUCTS","DOLLARS",1791000,"30.8"
2018,"ALASKA","CLAMS","ALL PRODUCTS","OPERATIONS",1,"(H)"
2018,"ALASKA","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"ALASKA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1,"(H)"
2018,"ALASKA","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"ALASKA","MUSSELS","ALL PRODUCTS","OPERATIONS",2,"(H)"
2018,"ALASKA","MUSSELS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"ALASKA","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"ALASKA","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"ALASKA","OYSTERS","ALL PRODUCTS","OPERATIONS",22,"23.6"
2018,"ALASKA","OYSTERS","ALL PRODUCTS","DOLLARS",1724000,"31.9"
2018,"ALASKA","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",22,"23.6"
2018,"ALASKA","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",1724000,"31.9"
2018,"CALIFORNIA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",20,"27.2"
2018,"CALIFORNIA","MOLLUSKS","ALL PRODUCTS","DOLLARS",33685000,"13.6"
2018,"CALIFORNIA","ABALONE","ALL PRODUCTS","OPERATIONS",3,"(NA)"
2018,"CALIFORNIA","ABALONE","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"CALIFORNIA","CLAMS","ALL PRODUCTS","OPERATIONS",3,"70.7"
2018,"CALIFORNIA","CLAMS","ALL PRODUCTS","DOLLARS",14000,"2.2"
2018,"CALIFORNIA","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",3,"70.7"
2018,"CALIFORNIA","MANILA CLAMS","ALL PRODUCTS","DOLLARS",14000,"2.2"
2018,"CALIFORNIA","MUSSELS","ALL PRODUCTS","OPERATIONS",7,"30.3"
2018,"CALIFORNIA","MUSSELS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"CALIFORNIA","OYSTERS","ALL PRODUCTS","OPERATIONS",17,"32.1"
2018,"CALIFORNIA","OYSTERS","ALL PRODUCTS","DOLLARS",28734000,"16.0"
2018,"CALIFORNIA","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",4,"(NA)"
2018,"CALIFORNIA","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",13573000,"(NA)"
2018,"CALIFORNIA","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",17,"32.1"
2018,"CALIFORNIA","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",15160000,"30.3"
2018,"CONNECTICUT","MOLLUSKS","ALL PRODUCTS","OPERATIONS",26,"34.0"
2018,"CONNECTICUT","MOLLUSKS","ALL PRODUCTS","DOLLARS",15440000,"23.0"
2018,"CONNECTICUT","CLAMS","ALL PRODUCTS","OPERATIONS",16,"40.6"
2018,"CONNECTICUT","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"CONNECTICUT","HARD CLAMS","ALL PRODUCTS","OPERATIONS",16,"40.6"
2018,"CONNECTICUT","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"CONNECTICUT","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"CONNECTICUT","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"CONNECTICUT","OYSTERS","ALL PRODUCTS","OPERATIONS",21,"44.0"
2018,"CONNECTICUT","OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"CONNECTICUT","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",21,"44.0"
2018,"CONNECTICUT","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"FLORIDA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",115,"9.4"
2018,"FLORIDA","MOLLUSKS","ALL PRODUCTS","DOLLARS",16049000,"13.0"
2018,"FLORIDA","CLAMS","ALL PRODUCTS","OPERATIONS",95,"12.9"
2018,"FLORIDA","CLAMS","ALL PRODUCTS","DOLLARS",14292000,"11.4"
2018,"FLORIDA","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",7,"57.5"
2018,"FLORIDA","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"FLORIDA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",91,"13.7"
2018,"FLORIDA","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"FLORIDA","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",2,"82.2"
2018,"FLORIDA","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"FLORIDA","OYSTERS","ALL PRODUCTS","OPERATIONS",29,"29.8"
2018,"FLORIDA","OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"FLORIDA","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",13,"37.9"
2018,"FLORIDA","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"FLORIDA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",16,"42.8"
2018,"FLORIDA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",1255000,"71.3"
2018,"GEORGIA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"GEORGIA","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"GEORGIA","CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"GEORGIA","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"GEORGIA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"GEORGIA","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"GEORGIA","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"GEORGIA","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","MOLLUSKS","ALL PRODUCTS","OPERATIONS",6,"(NA)"
2018,"HAWAII","MOLLUSKS","ALL PRODUCTS","DOLLARS",6576000,"(NA)"
2018,"HAWAII","ABALONE","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"HAWAII","ABALONE","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","CLAMS","ALL PRODUCTS","OPERATIONS",3,"(NA)"
2018,"HAWAII","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"HAWAII","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"HAWAII","MANILA CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"HAWAII","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","OYSTERS","ALL PRODUCTS","OPERATIONS",4,"(NA)"
2018,"HAWAII","OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"HAWAII","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",4,"(NA)"
2018,"HAWAII","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"IDAHO","MOLLUSKS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"IDAHO","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"IDAHO","OYSTERS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"IDAHO","OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"IDAHO","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"IDAHO","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"LOUISIANA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",28,"17.9"
2018,"LOUISIANA","MOLLUSKS","ALL PRODUCTS","DOLLARS",29008000,"16.6"
2018,"LOUISIANA","OYSTERS","ALL PRODUCTS","OPERATIONS",28,"17.9"
2018,"LOUISIANA","OYSTERS","ALL PRODUCTS","DOLLARS",29008000,"16.6"
2018,"LOUISIANA","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",13,"29.2"
2018,"LOUISIANA","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",21126000,"3.7"
2018,"LOUISIANA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",15,"21.9"
2018,"LOUISIANA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",7882000,"60.2"
2018,"MAINE","MOLLUSKS","ALL PRODUCTS","OPERATIONS",54,"18.0"
2018,"MAINE","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"MAINE","CLAMS","ALL PRODUCTS","OPERATIONS",4,"67.1"
2018,"MAINE","CLAMS","ALL PRODUCTS","DOLLARS",42000,"(H)"
2018,"MAINE","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",2,"94.9"
2018,"MAINE","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"MAINE","HARD CLAMS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"MAINE","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"MAINE","MUSSELS","ALL PRODUCTS","OPERATIONS",13,"27.3"
2018,"MAINE","MUSSELS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"MAINE","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",3,"54.8"
2018,"MAINE","OTHER SPECIES","ALL PRODUCTS","DOLLARS",38000,"54.8"
2018,"MAINE","OYSTERS","ALL PRODUCTS","OPERATIONS",42,"21.5"
2018,"MAINE","OYSTERS","ALL PRODUCTS","DOLLARS",7191000,"7.7"
2018,"MAINE","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"MAINE","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"MAINE","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",42,"21.5"
2018,"MAINE","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"MARYLAND","MOLLUSKS","ALL PRODUCTS","OPERATIONS",30,"24.9"
2018,"MARYLAND","MOLLUSKS","ALL PRODUCTS","DOLLARS",24721000,"(H)"
2018,"MARYLAND","CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"MARYLAND","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"MARYLAND","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"MARYLAND","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"MARYLAND","OYSTERS","ALL PRODUCTS","OPERATIONS",30,"24.9"
2018,"MARYLAND","OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"MARYLAND","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",2,"94.9"
2018,"MARYLAND","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"MARYLAND","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",28,"27.9"
2018,"MARYLAND","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",3651000,"13.0"
2018,"MASSACHUSETTS","MOLLUSKS","ALL PRODUCTS","OPERATIONS",157,"7.5"
2018,"MASSACHUSETTS","MOLLUSKS","ALL PRODUCTS","DOLLARS",23635000,"12.1"
2018,"MASSACHUSETTS","CLAMS","ALL PRODUCTS","OPERATIONS",24,"23.0"
2018,"MASSACHUSETTS","CLAMS","ALL PRODUCTS","DOLLARS",1936000,"22.9"
2018,"MASSACHUSETTS","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",6,"54.8"
2018,"MASSACHUSETTS","OTHER CLAMS","ALL PRODUCTS","DOLLARS",69000,"(H)"
2018,"MASSACHUSETTS","HARD CLAMS","ALL PRODUCTS","OPERATIONS",21,"23.0"
2018,"MASSACHUSETTS","HARD CLAMS","ALL PRODUCTS","DOLLARS",1867000,"18.2"
2018,"MASSACHUSETTS","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",3,"63.2"
2018,"MASSACHUSETTS","OTHER SPECIES","ALL PRODUCTS","DOLLARS",25000,"61.6"
2018,"MASSACHUSETTS","OYSTERS","ALL PRODUCTS","OPERATIONS",151,"8.3"
2018,"MASSACHUSETTS","OYSTERS","ALL PRODUCTS","DOLLARS",21674000,"11.9"
2018,"MASSACHUSETTS","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"MASSACHUSETTS","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"MASSACHUSETTS","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",150,"8.4"
2018,"MASSACHUSETTS","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"NEW HAMPSHIRE","MOLLUSKS","ALL PRODUCTS","OPERATIONS",18,"33.7"
2018,"NEW HAMPSHIRE","MOLLUSKS","ALL PRODUCTS","DOLLARS",271000,"35.5"
2018,"NEW HAMPSHIRE","OYSTERS","ALL PRODUCTS","OPERATIONS",18,"33.7"
2018,"NEW HAMPSHIRE","OYSTERS","ALL PRODUCTS","DOLLARS",271000,"35.5"
2018,"NEW HAMPSHIRE","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",18,"33.7"
2018,"NEW HAMPSHIRE","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",271000,"35.5"
2018,"NEW JERSEY","MOLLUSKS","ALL PRODUCTS","OPERATIONS",37,"20.0"
2018,"NEW JERSEY","MOLLUSKS","ALL PRODUCTS","DOLLARS",6433000,"8.1"
2018,"NEW JERSEY","CLAMS","ALL PRODUCTS","OPERATIONS",21,"25.6"
2018,"NEW JERSEY","CLAMS","ALL PRODUCTS","DOLLARS",2226000,"18.1"
2018,"NEW JERSEY","HARD CLAMS","ALL PRODUCTS","OPERATIONS",21,"25.6"
2018,"NEW JERSEY","HARD CLAMS","ALL PRODUCTS","DOLLARS",2226000,"18.1"
2018,"NEW JERSEY","OYSTERS","ALL PRODUCTS","OPERATIONS",18,"36.1"
2018,"NEW JERSEY","OYSTERS","ALL PRODUCTS","DOLLARS",4208000,"10.5"
2018,"NEW JERSEY","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",18,"36.1"
2018,"NEW JERSEY","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",4208000,"10.5"
2018,"NEW YORK","MOLLUSKS","ALL PRODUCTS","OPERATIONS",18,"27.9"
2018,"NEW YORK","MOLLUSKS","ALL PRODUCTS","DOLLARS",7069000,"25.3"
2018,"NEW YORK","CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"NEW YORK","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"NEW YORK","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"NEW YORK","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"NEW YORK","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",1,"(NA)"
2018,"NEW YORK","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"NEW YORK","OYSTERS","ALL PRODUCTS","OPERATIONS",18,"27.9"
2018,"NEW YORK","OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"NEW YORK","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",18,"27.9"
2018,"NEW YORK","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"NORTH CAROLINA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",35,"26.6"
2018,"NORTH CAROLINA","MOLLUSKS","ALL PRODUCTS","DOLLARS",1328000,"29.3"
2018,"NORTH CAROLINA","CLAMS","ALL PRODUCTS","OPERATIONS",12,"41.8"
2018,"NORTH CAROLINA","CLAMS","ALL PRODUCTS","DOLLARS",88000,"53.9"
2018,"NORTH CAROLINA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",12,"41.8"
2018,"NORTH CAROLINA","HARD CLAMS","ALL PRODUCTS","DOLLARS",88000,"53.9"
2018,"NORTH CAROLINA","OYSTERS","ALL PRODUCTS","OPERATIONS",33,"27.7"
2018,"NORTH CAROLINA","OYSTERS","ALL PRODUCTS","DOLLARS",1240000,"30.3"
2018,"NORTH CAROLINA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",33,"27.7"
2018,"NORTH CAROLINA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",1240000,"30.3"
2018,"OHIO","MOLLUSKS","ALL PRODUCTS","OPERATIONS",2,"47.4"
2018,"OHIO","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"OHIO","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",2,"47.4"
2018,"OHIO","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA,"(D)"
2018,"OREGON","MOLLUSKS","ALL PRODUCTS","OPERATIONS",15,"27.6"
2018,"OREGON","MOLLUSKS","ALL PRODUCTS","DOLLARS",19853000,"10.2"
2018,"OREGON","CLAMS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"OREGON","CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"OREGON","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"OREGON","MANILA CLAMS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"OREGON","MUSSELS","ALL PRODUCTS","OPERATIONS",2,"(NA)"
2018,"OREGON","MUSSELS","ALL PRODUCTS","DOLLARS",NA,"(NA)"
2018,"OREGON","OYSTERS","ALL PRODUCTS","OPERATIONS",15,"27.6"
2018,"OREGON","OYSTERS","ALL PRODUCTS","DOLLARS",19637000,"10.3"
